15,6.08,0.03,1
15,6.56,0.03,1
18,6.26,0.04,1
17,6.29,0.04,1
15,6.22,0.06,1
17,6.06,0.07,1
15,6.87,0.04,1
16,6.24,0.05,1
17,6.05,0.06,1
13,6.18,0.01,1
15,6.28,0.08,1
18,6.31,0.05,1
16,6.62,0.02,1
16,6.17,0.06,1
15,6.92,0.04,1
18,5.88,0.12,2
16,6.47,0.09,2
16,6.74,0.08,2
16,6.86,0.08,2
17,6.36,0.1,2
20,6.63,0.12,2
16,7.08,0.15,2
19,6.33,0.09,2
19,6.55,0.09,2
18,6.42,0.1,2
16,6.8,0.15,2
21,6.67,0.13,2
15,6.29,0.1,2
16,6.23,0.11,2
18,6.26,0.12,2
24,6.48,0.11,3
24,6.48,0.11,3
18,6.99,0.09,3
17,6.29,0.09,3
25,6.62,0.1,3
17,5.8,0.11,3
23,6.57,0.08,3
23,6.6,0.11,3
20,7.19,0.12,3
18,6.13,0.1,3
21,6.86,0.09,3
21,5.85,0.09,3
22,6.82,0.1,3
22,5.86,0.12,3
19,6.7,0.1,3
